10,0.0000009000,0.0000019860,0.0000008870
20,0.0000014210,0.0000031950,0.0000013760
30,0.0000018640,0.0000038840,0.0000018180
40,0.0000024880,0.0000046040,0.0000023470
50,0.0000047190,0.0000078320,0.0000046400
60,0.0000051700,0.0000079840,0.0000050070
70,0.0000060010,0.0000086430,0.0000056900
80,0.0000079070,0.0000101640,0.0000074820
90,0.0000097940,0.0000118430,0.0000091800
100,0.0000115290,0.0000130740,0.0000108440
110,0.0000136000,0.0000145150,0.0000127590
120,0.0000157380,0.0000159940,0.0000146630
130,0.0000181400,0.0000173900,0.0000111730
140,0.0000217620,0.0000197180,0.0000132140
150,0.0000284510,0.0000235820,0.0000171050
160,0.0000265880,0.0000216090,0.0000156640
170,0.0000297320,0.0000234350,0.0000172810
180,0.0000329830,0.0000249600,0.0000190370
190,0.0000366730,0.0000262300,0.0000208410
200,0.0000412120,0.0000284920,0.0000232890
210,0.0000443380,0.0000297290,0.0000247830
220,0.0000483310,0.0000312990,0.0000268210
230,0.0000527520,0.0000330100,0.0000290060
240,0.0000571410,0.0000345470,0.0000312950
250,0.0000618240,0.0000361770,0.0000336120
260,0.0000674590,0.0000381120,0.0000311740
270,0.0000718800,0.0000397430,0.0000271110
280,0.0000767130,0.0000414060,0.0000285630
290,0.0000828170,0.0000429900,0.0000304340
300,0.0000887250,0.0000448780,0.0000324010
