10,0.0000005990,0.0000013610
20,0.0000010020,0.0000021770
30,0.0000020960,0.0000044070
40,0.0000028030,0.0000051990
50,0.0000035520,0.0000060840
60,0.0000046770,0.0000072490
70,0.0000061110,0.0000087510
80,0.0000076530,0.0000100050
90,0.0000103580,0.0000124030
100,0.0000113390,0.0000129550
110,0.0000135080,0.0000144470
120,0.0000156590,0.0000158620
130,0.0000180450,0.0000172550
140,0.0000207770,0.0000189820
150,0.0000235430,0.0000205740
160,0.0000264860,0.0000215730
170,0.0000300010,0.0000236230
180,0.0000332530,0.0000251330
190,0.0000369490,0.0000264690
200,0.0000404680,0.0000282670
210,0.0000449480,0.0000301840
220,0.0000482740,0.0000314670
230,0.0000525980,0.0000331840
240,0.0000570940,0.0000346670
250,0.0000615910,0.0000362260
260,0.0000668610,0.0000380370
270,0.0000717460,0.0000398300
280,0.0000764630,0.0000414080
290,0.0000864630,0.0000444330
300,0.0000889810,0.0000453400
